Barcode,Fila,ID,Nombre,PrecioA,PrecioB,Problema
"7,70244E+12",2571,9504,TRIBARY BARY 50GR,1300,0,Duplicado 42/70
"7,70244E+12",2605,9503,AJO BARY 50GR,1100,0,Duplicado 43/70
"7,70244E+12",2663,9605,CHOCO MIX SNACK BARY 160GR,6500,6300,Duplicado 44/70
"7,70244E+12",2664,9502,COMINO BARY 50GR,1300,0,Duplicado 45/70
"7,70244E+12",2677,9515,MANI BARY SABOR A POLLO X8UNID,14000,0,Duplicado 46/70
"7,70244E+12",2682,9514,VINAGRETA BARY 200GR,3600,3450,Duplicado 47/70
"7,70244E+12",2685,9516,MANI BARY SABOR A LIMON X8UNI,14000,0,Duplicado 48/70
"7,70244E+12",2879,9954,MERMELADA BARY FRESA 200GR,4100,3950,Duplicado 49/70
"7,70244E+12",2880,9955,MERMELADA BARY MORA 200GR,4100,3950,Duplicado 50/70
"7,70244E+12",2881,9956,MERMELADA BARY PIÑA 200GRR,4100,3950,Duplicado 51/70
"7,70244E+12",2888,9962,VINAGRE SABOR A FRUAS 500ML,4000,0,Duplicado 52/70
"7,70244E+12",2945,10232,SALSA DE TOMATE BARY 1.000GR,13900,13600,Duplicado 53/70
"7,70244E+12",3029,10106,SALSA HARDYS BARY 200GR,4600,4450,Duplicado 54/70
"7,70244E+12",3350,10415,SALSA DE TOMATE BARY 400GR,7600,7350,Duplicado 55/70
"7,70244E+12",3483,10555,AJI BARY 165GR,3100,2950,Duplicado 56/70
"7,70244E+12",3608,10728,SALSA BBQ HOT BARY 200GR,3800,3650,Duplicado 57/70
"7,70244E+12",3646,10743,MOSTAZA BARY 180GR,2200,2000,Duplicado 58/70
"7,70244E+12",3648,10745,SALSA ROSADA BARY 180GR,2900,2740,Duplicado 59/70
"7,70244E+12",3799,10902,SALSA DE AJO BARY 165GR,3400,3300,Duplicado 60/70
"7,70244E+12",3987,11102,SALSA BBQ BARY 400GR,7900,7650,Duplicado 61/70
"7,70244E+12",4231,11359,SALSA BBQ BARY 1.330GR,14800,0,Duplicado 62/70
"7,70244E+12",4232,11360,SALSA NEGRA BARY 1.1165ML,9500,9200,Duplicado 63/70
"7,70244E+12",4860,11985,MOSTAZA BARY 200GR,4900,4780,Duplicado 64/70
"7,70244E+12",4861,11986,SALSA DE TOMATE ECONOBUENA 1KILO,6000,5700,Duplicado 65/70
"7,70244E+12",4862,11987,MAYONESA ECONOBUENA 1KILO,6900,6700,Duplicado 66/70
"7,70244E+12",4880,12007,COMPOTA NATURE BABY PERA 113GRHIT ,2800,2700,Duplicado 67/70
"7,70244E+12",4881,12008,COMPOTA NATURE BABY 113GR HIT,2800,2700,Duplicado 68/70
"7,70244E+12",5213,12350,PRESTOBARBA BIC AMARILLA 2 HOJAS ,1200,1000,Duplicado 69/70
"7,70244E+12",5649,12789,SALSA DE TOMATE BARY 150GR,2600,2450,Duplicado 70/70

"7,70246E+12",541,2867,PLATO HONDO DARNEL 25OZ X20UND,5100,4900,Duplicado 1/7
"7,70246E+12",547,2903,CONTENEDOR DARNEL 16OZ X20UNID,7500,7200,Duplicado 2/7
"7,70246E+12",2035,8896,PLATOS DARNEL HONDOS X20UNID,5200,0,Duplicado 3/7
"7,70246E+12",2786,10166,TAZA DARNEL 16 ONZ 25U,13500,0,Duplicado 4/7
"7,70246E+12",2952,10631,CONTENEDOR 24OZ X20UNID DARNEL,9800,9450,Duplicado 5/7
"7,70246E+12",4855,11980,CONTENEDOR DARNEL X20UNID 16ONZ,7600,7400,Duplicado 6/7
"7,70246E+12",5608,12748,CUCHARA CRISTAL DARNEL X20UNIDADES,1300,1200,Duplicado 7/7

"7,70248E+12",4320,11451,COMPOTA CALIFORNIA PERA 113GR,2700,2459,Duplicado 1/2
"7,70248E+12",5670,12810,LECHE ALGARRA 1 LITRO ,3000,0,Duplicado 2/2

"7,70249E+12",346,1639,CLORO MAX 2L,3500,3350,Duplicado 1/4
"7,70249E+12",2322,9159,GALLETA CANAMOR PERRO 150GR,3500,3400,Duplicado 2/4
"7,70249E+12",2325,9162,CANAMOR GALLETA GATO 75GR,2600,2450,Duplicado 3/4
"7,70249E+12",4062,11178,SHAMPOO CANAMOR SIN SAL 30ML,2400,0,Duplicado 4/4

"7,7024E+12",396,2045,SALCHICHA RICA VIENA 150GR,4500,4380,Duplicado 1/2
"7,7024E+12",3815,10920,MERMELADA COUNTRY HILL MORA 200GR,3500,0,Duplicado 2/2

"7,70251E+12",258,1109,ARROZ DIANA 500GR,2000,0,Duplicado 1/10
"7,70251E+12",629,9665,ARROZ DIANA 5K,20000,0,Duplicado 2/10
"7,70251E+12",972,6295,ARROZ DIANA 1.000GR,4100,4000,Duplicado 3/10
"7,70251E+12",1004,9740,ARROZ DIANA 3000GR,12000,0,Duplicado 4/10
"7,70251E+12",2611,9446,HARINA DIANA 1.000GR,3200,3075,Duplicado 5/10
"7,70251E+12",2735,9568,BEBIDA DE ARROZ DIANA 46GR,1500,0,Duplicado 6/10
"7,70251E+12",3435,10578,ARROZ DIANA  10KILOS,42500,0,Duplicado 7/10
"7,70251E+12",4705,11831,TUTTI FRUTTI SALPICON 250ML,900,834,Duplicado 8/10
"7,70251E+12",4706,11832,TUTTI FRUTTI FUSION CITRICO 250ML,900,834,Duplicado 9/10
"7,70251E+12",5627,12767,TUTTI FRUTTI NARANJA 1.5,3500,3167,Duplicado 10/10

"7,70252E+12",274,1175,DOG CHOW 350GR,3800,3670,Duplicado 1/9
"7,70252E+12",403,2098,GATSY PESCADO 500GR,6000,0,Duplicado 2/9
"7,70252E+12",493,2593,DOG CHOW CACHORROS 350GR,3800,3670,Duplicado 3/9
"7,70252E+12",1083,6946,DOG CHOW ADULTOS MINIS 350GR,4000,3850,Duplicado 4/9
"7,70252E+12",3085,10136,DOG CHOW ADULTOS MEDIANOS 350GR,4000,3850,Duplicado 5/9
"7,70252E+12",3613,10705,FELIX COMIDA HUMEDA PURINA X6UNID,14700,0,Duplicado 6/9
"7,70252E+12",3614,10706,DOG CHOW COMIDA HUMEDA X4,8600,0,Duplicado 7/9
"7,70252E+12",4905,12032,DOG CHOW MINIS Y PEQUEÑOS MORADA 350GR,4000,3850,Duplicado 8/9
"7,70252E+12",4906,12033,DOG CHOW CACHORROS MEDIANOS 350GR,4000,3850,Duplicado 9/9

"7,70253E+12",291,1298,BON AIRE VARITAS FRUTOS ROJOS 40ML,8900,8700,Duplicado 1/34
"7,70253E+12",313,1357,BON AIRE VARITAS BAMBU 40ML,8900,8700,Duplicado 2/34
"7,70253E+12",314,1358,BON AIRE VARITAS VAINILLA 40ML,8900,8700,Duplicado 3/34
"7,70253E+12",1223,7651,BON AIRE VARITAS CANELA Y MANZANA  40ML,7000,6800,Duplicado 4/34
"7,70253E+12",1366,8227,BON AIRE AUTO VAINILLA 6ML,13500,13100,Duplicado 5/34
"7,70253E+12",1367,8228,BON AIRE AUTO FRUTOS ROJOS 6ML,13500,13100,Duplicado 6/34
"7,70253E+12",1368,8229,RAYOL 400ML INCEPTICIDA ,14000,13550,Duplicado 7/34
"7,70253E+12",1371,8232,BON AIRE FRUTOS ROJOS 250ML,5900,5700,Duplicado 8/34
"7,70253E+12",1767,8628,RAYOL INCEPTICIDA 230ML,8900,8600,Duplicado 9/34
"7,70253E+12",1777,8638,RAYOL ELECTRICO MOSCAS,13600,0,Duplicado 10/34
"7,70253E+12",2065,8926,BON AIRE AEROSOL ORQUIDEA 400ML,9400,9100,Duplicado 11/34
"7,70253E+12",2066,8927,BON AIRE AEROSOL FRUTAS DEL CARIBE  400ML,9400,9100,Duplicado 12/34
"7,70253E+12",2067,8928,BON AIRE CANELA Y MIEL AEROSOL 400ML,9400,9100,Duplicado 13/34
"7,70253E+12",2068,8929,BON AIRE AEROSOL MORA 400ML,9400,9100,Duplicado 14/34
"7,70253E+12",2069,8930,BON AIRE AEROSOL ALGODON 400ML,9400,9100,Duplicado 15/34
"7,70253E+12",2070,8931,BON AIRE REPUESTO X3UNID,25000,0,Duplicado 16/34
"7,70253E+12",2071,8932,BON AIRE ELECTRICO VAINILLA 25ML,14700,14200,Duplicado 17/34
"7,70253E+12",2072,8933,BON AIRE AUTO BRISA TROPICAL ,13400,13000,Duplicado 18/34
